sk_date,full_date,year_month,year_quarter,month_sort_key,day_num,day_name,week_num,month_num,month_name,quarter_num,semester_num,year_num,is_weekend,is_holiday,country_code
208,2024-07-26,2024-07,2024-Q3,202407,26,Friday,30,7,July,3,2,2024,0,0,FR
209,2024-07-27,2024-07,2024-Q3,202407,27,Saturday,30,7,July,3,2,2024,1,0,FR
210,2024-07-28,2024-07,2024-Q3,202407,28,Sunday,30,7,July,3,2,2024,1,0,FR
211,2024-07-29,2024-07,2024-Q3,202407,29,Monday,31,7,July,3,2,2024,0,0,FR
212,2024-07-30,2024-07,2024-Q3,202407,30,Tuesday,31,7,July,3,2,2024,0,0,FR
213,2024-07-31,2024-07,2024-Q3,202407,31,Wednesday,31,7,July,3,2,2024,0,0,FR
214,2024-08-01,2024-08,2024-Q3,202408,1,Thursday,31,8,August,3,2,2024,0,0,FR
215,2024-08-02,2024-08,2024-Q3,202408,2,Friday,31,8,August,3,2,2024,0,0,FR
216,2024-08-03,2024-08,2024-Q3,202408,3,Saturday,31,8,August,3,2,2024,1,0,FR
217,2024-08-04,2024-08,2024-Q3,202408,4,Sunday,31,8,August,3,2,2024,1,0,FR
218,2024-08-05,2024-08,2024-Q3,202408,5,Monday,32,8,August,3,2,2024,0,0,FR
219,2024-08-06,2024-08,2024-Q3,202408,6,Tuesday,32,8,August,3,2,2024,0,0,FR
220,2024-08-07,2024-08,2024-Q3,202408,7,Wednesday,32,8,August,3,2,2024,0,0,FR
221,2024-08-08,2024-08,2024-Q3,202408,8,Thursday,32,8,August,3,2,2024,0,0,FR
222,2024-08-09,2024-08,2024-Q3,202408,9,Friday,32,8,August,3,2,2024,0,0,FR
223,2024-08-10,2024-08,2024-Q3,202408,10,Saturday,32,8,August,3,2,2024,1,0,FR
224,2024-08-11,2024-08,2024-Q3,202408,11,Sunday,32,8,August,3,2,2024,1,0,FR
225,2024-08-12,2024-08,2024-Q3,202408,12,Monday,33,8,August,3,2,2024,0,0,FR
226,2024-08-13,2024-08,2024-Q3,202408,13,Tuesday,33,8,August,3,2,2024,0,0,FR
227,2024-08-14,2024-08,2024-Q3,202408,14,Wednesday,33,8,August,3,2,2024,0,0,FR
228,2024-08-15,2024-08,2024-Q3,202408,15,Thursday,33,8,August,3,2,2024,0,1,FR
229,2024-08-16,2024-08,2024-Q3,202408,16,Friday,33,8,August,3,2,2024,0,0,FR
230,2024-08-17,2024-08,2024-Q3,202408,17,Saturday,33,8,August,3,2,2024,1,0,FR
231,2024-08-18,2024-08,2024-Q3,202408,18,Sunday,33,8,August,3,2,2024,1,0,FR
232,2024-08-19,2024-08,2024-Q3,202408,19,Monday,34,8,August,3,2,2024,0,0,FR
233,2024-08-20,2024-08,2024-Q3,202408,20,Tuesday,34,8,August,3,2,2024,0,0,FR
234,2024-08-21,2024-08,2024-Q3,202408,21,Wednesday,34,8,August,3,2,2024,0,0,FR
235,2024-08-22,2024-08,2024-Q3,202408,22,Thursday,34,8,August,3,2,2024,0,0,FR
236,2024-08-23,2024-08,2024-Q3,202408,23,Friday,34,8,August,3,2,2024,0,0,FR
237,2024-08-24,2024-08,2024-Q3,202408,24,Saturday,34,8,August,3,2,2024,1,0,FR
238,2024-08-25,2024-08,2024-Q3,202408,25,Sunday,34,8,August,3,2,2024,1,0,FR
239,2024-08-26,2024-08,2024-Q3,202408,26,Monday,35,8,August,3,2,2024,0,0,FR
240,2024-08-27,2024-08,2024-Q3,202408,27,Tuesday,35,8,August,3,2,2024,0,0,FR
241,2024-08-28,2024-08,2024-Q3,202408,28,Wednesday,35,8,August,3,2,2024,0,0,FR
242,2024-08-29,2024-08,2024-Q3,202408,29,Thursday,35,8,August,3,2,2024,0,0,FR
243,2024-08-30,2024-08,2024-Q3,202408,30,Friday,35,8,August,3,2,2024,0,0,FR
244,2024-08-31,2024-08,2024-Q3,202408,31,Saturday,35,8,August,3,2,2024,1,0,FR
245,2024-09-01,2024-09,2024-Q3,202409,1,Sunday,35,9,September,3,2,2024,1,0,FR
246,2024-09-02,2024-09,2024-Q3,202409,2,Monday,36,9,September,3,2,2024,0,0,FR
247,2024-09-03,2024-09,2024-Q3,202409,3,Tuesday,36,9,September,3,2,2024,0,0,FR
248,2024-09-04,2024-09,2024-Q3,202409,4,Wednesday,36,9,September,3,2,2024,0,0,FR
249,2024-09-05,2024-09,2024-Q3,202409,5,Thursday,36,9,September,3,2,2024,0,0,FR
250,2024-09-06,2024-09,2024-Q3,202409,6,Friday,36,9,September,3,2,2024,0,0,FR
251,2024-09-07,2024-09,2024-Q3,202409,7,Saturday,36,9,September,3,2,2024,1,0,FR
252,2024-09-08,2024-09,2024-Q3,202409,8,Sunday,36,9,September,3,2,2024,1,0,FR
253,2024-09-09,2024-09,2024-Q3,202409,9,Monday,37,9,September,3,2,2024,0,0,FR
254,2024-09-10,2024-09,2024-Q3,202409,10,Tuesday,37,9,September,3,2,2024,0,0,FR
255,2024-09-11,2024-09,2024-Q3,202409,11,Wednesday,37,9,September,3,2,2024,0,0,FR
256,2024-09-12,2024-09,2024-Q3,202409,12,Thursday,37,9,September,3,2,2024,0,0,FR
257,2024-09-13,2024-09,2024-Q3,202409,13,Friday,37,9,September,3,2,2024,0,0,FR
258,2024-09-14,2024-09,2024-Q3,202409,14,Saturday,37,9,September,3,2,2024,1,0,FR
259,2024-09-15,2024-09,2024-Q3,202409,15,Sunday,37,9,September,3,2,2024,1,0,FR
260,2024-09-16,2024-09,2024-Q3,202409,16,Monday,38,9,September,3,2,2024,0,0,FR
261,2024-09-17,2024-09,2024-Q3,202409,17,Tuesday,38,9,September,3,2,2024,0,0,FR
262,2024-09-18,2024-09,2024-Q3,202409,18,Wednesday,38,9,September,3,2,2024,0,0,FR
263,2024-09-19,2024-09,2024-Q3,202409,19,Thursday,38,9,September,3,2,2024,0,0,FR
264,2024-09-20,2024-09,2024-Q3,202409,20,Friday,38,9,September,3,2,2024,0,0,FR
265,2024-09-21,2024-09,2024-Q3,202409,21,Saturday,38,9,September,3,2,2024,1,0,FR
266,2024-09-22,2024-09,2024-Q3,202409,22,Sunday,38,9,September,3,2,2024,1,0,FR
